sample_id,dim1,dim2,dim3
Kou01.SG,0.5564139521422603,0.15426130287858478,0.6445303578782758
Kou03.SG,0.14606758155463792,0.024160983835133525,0.9209524509279355
cay004.SG,0.15593450200888076,-0.07071184338790723,0.5526417483321374
cay007.SG,0.20137519503090917,-0.1251908889416653,0.3882525758926566
cay008.SG,-0.12676937680001565,-0.018435681360659418,0.1888550075116471
cay011.SG,2.75495749603152,-3.1940527014971556,-1.1712454933786798
cay012.SG,2.610112718767027,-5.8903512407203795,1.758138521265572
cay013.SG,0.2895236727329119,-0.2041093535733269,0.3016920174254375
cay014.SG,-1.8110047412678787,1.1463464103616776,-4.363097142830027
cay015.SG,-2.6337738227215617,-3.740334955067515,0.8848264138633685
cay016.SG,0.031275486161749105,0.42694524652992294,1.9535920850882351
cay1820.SG,-0.8006337686346934,-3.0475886773811265,0.2637029720565054
cay022.SG,-0.6435273766489619,-2.9369733807643086,0.13192860735448306
cay027.SG,-0.5223488693902495,-1.4157571030861402,-2.368798852342848
cay033.SG,-6.666153890137454,-1.9548386078091693,1.290146908712139
AV1.AG,-0.5389259355951204,-0.07118550033382859,-1.1324406940628113
AV2.AG,-0.5342841761456428,-0.1565048190211316,-1.166697471850961
CL102.AG,-0.1694407737390574,0.7122948136649977,-0.21745162967954432
CL110.AG,3.05790090035827,-3.225254042426129,-1.0588714851859857
CL121.AG,-0.0917956935304416,-0.1304419139581834,0.10238376621593666
CL145.AG,-0.38004778132014216,0.26809855308067915,-0.01656837860812322
CL146.AG,-0.36386970523855944,0.3632254134057634,-0.05503694838611768
CL151.AG,-0.33270263537538913,0.38111410202012097,0.16200908709217784
CL23.AG,0.023240343305213608,-0.37872068931031105,0.11303738467841899
CL25.AG,-0.8068017450701364,-0.2796644387568835,0.7276191770980233
CL30.AG,-0.32074441325941416,0.17649590704967155,-0.06831486117635409
CL31.AG,-0.34166353728690146,-0.8077116751154486,-0.2940128758052736
CL36.AG,-0.2703525916490561,0.33692292590023837,0.7422862678490452
CL38.AG,-0.39797285457541437,-0.2095565186921318,0.5809088994058275
CL47.AG,-0.4556541626112835,0.20385361011289235,0.49672102787626177
CL49.AG,-0.3723466350602998,0.16745317506169505,0.48796719889986523
CL53.AG,-0.6394866237438849,0.19277002067611865,0.4705574065790717
CL57.AG,-0.4525515015012583,0.1448832557351101,0.5293767533264618
CL63.AG,-0.09295983424169298,-0.21673092992209603,-0.2520407241823742
CL83.AG,-0.20887357411091978,0.603425276185197,-0.22949340528964135
CL84.AG,-0.20675873135884898,0.6286377151255652,-0.22342906307872945
CL87.AG,-0.19671087472328314,0.6553552083806833,-0.21876060276841186
CL92.AG,-0.6451041674853144,0.3277891777315326,-0.366859784725726
CL93.AG,-0.5180495252718321,0.3778883342150737,-0.3518249955451125
CL94.AG,-0.2064255352095402,0.2706205444359525,0.4404961715575251
CL97.AG,-0.1968516260443147,0.5980298182400355,-0.24348358615143456
SZ12.AG,-0.16428686797938552,-0.023376555289599078,-0.4566567339757342
SZ13.AG,-0.04726788037003463,-0.005467533327291933,-0.5236087669333196
SZ14.AG,-0.1275942058857855,0.07872756911198228,-0.4992881826290818
SZ16.AG,-0.01462642675007463,-0.0011612702206840325,-0.6013763281616769
SZ18.AG,-0.3760014872503264,-0.3478068921136571,0.4532867844480973
SZ19.AG,-0.13386874819815164,0.17318728295792374,0.48476925124719505
SZ20.AG,1.7734486599370793,-0.6524972851041348,-2.09579601460152
SZ22.AG,-0.1175470715850796,-0.05846969883337496,-0.5459409608825406
SZ23.AG,-0.5741676189515119,0.03078455829634816,0.01115496562809204
SZ24.AG,-0.05458904598592246,-0.0893083464226752,-0.5471119976553722
SZ25.AG,-0.4858695053978226,-0.07584145662041966,-0.9150595883320435
SZ27.AG,-0.2918484711172217,0.7960435625155098,-0.0668081928676791
SZ28.AG,-0.24399661798384595,-0.2278404290868447,0.26030565753724194
SZ30.AG,0.10668936411262503,0.4595567788842372,-0.8929791984793394
SZ31.AG,-0.46843911691459506,0.2399583814272318,0.5339699833655736
SZ32.AG,0.11262079705899042,-0.19538536452881322,0.0033181659861156354
SZ35.AG,-1.8158623634887257,1.7209018280713353,0.09072861344002062
SZ37.AG,-0.3037365462165334,0.39339777088012484,0.32507154857620624
SZ38.AG,-0.42049205338201545,-0.5012843329858357,0.006166489526055132
SZ40.AG,-0.29576367896967537,-0.1236676996762015,0.24464799628382908
SZ41.AG,0.14727400188316564,0.2408427066523965,-0.3796894690360175
SZ42.AG,-0.1709378616928862,0.8049005260125017,-0.053882554588579525
SZ44.AG,1.2029889040309603,2.9150380939799017,0.42928934691493054
SZ6.AG,-0.04976387858982584,0.11131495052724912,-0.15246744271071605
SZ7.AG,-0.08108464538643324,-0.2472649407837903,-0.5141628422691468
SZ8.AG,-0.11728998100783247,-0.057211245432105394,-0.5230494248312891
SZ9.AG,0.13418826337213569,0.2983630244735868,-0.5739437351563332
SZ11.SG,-0.3401127398977573,0.22844855640063347,0.14655373982430578
SZ15.SG,-0.0014532319683530578,0.10327388855606172,-0.13865045460666942
SZ2.SG,-0.29719496346261903,0.31860234043331453,0.08333287788110809
SZ3.SG,0.015299424102558171,0.22200345838549748,0.5191748666281615
SZ4.SG,-0.31476498436530814,0.2291204658159989,0.16175682207604736
I1895.AG,0.5158689414070149,0.6561675296911611,0.47145704783388104
I1902.AG,0.7527146438902667,0.7177685460556956,0.5763618839926399
I1905.AG,1.1133075415884919,0.7699404475546219,0.5358175392884871
I1907.AG,0.7850107509299897,-0.07643352432698214,0.4140286478053804
I1594.AG,0.37783662735017637,-0.19926823821695386,-0.8613396055356682
I1763.AG,-0.40932274527403245,0.46780497936544324,-0.7520441270573899
I1767.AG,-0.33748717487100244,0.9393054207297411,-0.5747042280381358
I1770.AG,-0.48010063332293434,0.905243516395487,-0.8461707825906887
I1774.AG,-0.5886265504006539,0.5307923178897582,-0.13300122193369787
I1775.AG,-0.5897226156131873,0.4631309797495123,-0.42240259380029693
I1819.AG,-0.3860641806156154,0.3493245222444774,-0.7625360703743518
I1836.AG,1.0014639486073067,0.19767338035761037,-0.36618468335582083
I1838.AG,0.6502616406077372,-0.6908242834622701,-0.45307797870318156
I1840.AG,0.28152033362537254,-0.5550436748916385,-0.49257474908276877
I1843.AG,0.7937349547249986,-0.5596066671692083,-0.35185952734293363
I1887.AG,0.7624233605525653,0.38025246352129044,0.26117198939436653
I1889.AG,0.5268772455980386,0.33660471620810184,0.8125717810762799
I1890.AG,0.6025848199976177,0.3894716133102153,0.4399934694443178
I1891.AG,0.6085554707295444,0.7119339777796779,0.8927495994527346
I1894.AG,-0.7093284460810128,-2.9863905814962455,0.18793857393238492
I1896.AG,0.7055212338819281,0.11232690952651965,0.7551642320228648
I1899.AG,0.5320798055238886,0.665217487428882,0.6793812697247007
I1900.AG,1.18744847993861,0.5571637715886503,0.5636060958420966
I1901.AG,0.41989091692076946,0.08826294477887643,0.8572930040391876
I1903.AG,0.8002018276904709,0.1336429227294357,0.4079163783811633
I1906.AG,0.8374584852024812,0.4089590614338739,0.5821028267049417
I1908.AG,0.4295039895183903,0.20613868128902998,0.6818409661874372
I1909.AG,1.024657320095032,0.5462112262261534,0.8361962830974509
I1934.AG,-6.0913021945338395,-2.406351856532469,0.16564294134699162
I1972.AG,0.9146898083649667,-0.4069811966619709,0.13825781646740182
I1975.AG,0.6229002628019886,-0.6280727058812429,-0.2292127233555447
I0166.AG,0.19253479159129064,0.5187956388292332,0.39419555706573073
I2014.AG,-1.1596043861898762,1.9792718448034654,-4.894809056394911
I2020.AG,0.2994791502520714,0.8981938287920034,0.31013629125869624
I2022.AG,-1.4357444944791846,1.1717357884717678,-3.921997378073096
I2177.AG,-4.165463633895843,-1.048065842513915,3.7742849055186363
I2403.AG,1.2275926242915332,0.04053623348772494,-0.3306184086700735
I2417.AG,-0.2686855726783913,0.44345735181055607,-0.559071484739399
I2428.AG,0.06287123376694558,0.8448527461183901,0.5805042479049363
I2458.AG,-0.6796123498673503,0.3565698445912281,-1.0459711636419342
I2461.AG,-0.7833290105274778,0.1820172626142874,-0.7353649981684145
I2462.AG,0.08072588018175475,-0.17210726960992864,-0.2707903114462835
I2464.AG,-0.632640526181964,0.8547028603538988,-0.3362285236714715
I2470.AG,0.6156316392183744,-0.002865786182895748,-0.6369022732601056
I2477.AG,0.588697409593734,0.13058539663969834,-0.05174830307422284
I2509.AG,0.4916371481995679,0.8158397099305857,0.21530456562595368
I2510.AG,0.6769441247982244,0.06239309235800084,0.13303465044384197
I2519.AG,0.3710837562459867,0.11629661379452474,0.8584777963682216
I2520.AG,0.6105623411428676,0.6970339459912068,-0.07837045395980195
I2525.AG,-1.2973583855406152,-0.9599656765002881,-0.24481594584856975
I2530.AG,-0.6162548763932956,0.04509570095013514,-0.5387918914219121
I2532.AG,0.6344876272084181,0.5551690363280083,0.3960311585440971
I2533.AG,0.5074537198733822,0.10054486983866313,0.6750152024372686
I2534.AG,0.17634944562695182,0.2278986023672509,-0.8046883398669574
I2566.AG,-0.2771321964746275,0.5336894851732016,-0.4115104475601398
I2567.AG,-0.30657729733101724,0.6273428750655384,-0.5838813874273305
