sample_id,dim1,dim2,dim3
Kou01.SG,1.907013352374901,-0.5211030180452719,-0.46696099931807145
Kou03.SG,1.8917620697262398,-0.5286298389999982,-0.4892871242587299
cay004.SG,1.4422714069953226,-0.3758548560681108,-0.6106790903965708
cay007.SG,1.4347976056562755,-0.36812244520010623,-0.5611402636825892
cay008.SG,1.4540424075336114,-0.36139033149866423,-0.6068724605185644
cay013.SG,1.4592214249935642,-0.3757767984709779,-0.5880408745753269
AV1.AG,1.6830077699655126,-0.547132952170051,0.05630049171621192
AV2.AG,1.6651217439911412,-0.51071142625673,0.049601599112433455
CL102.AG,-0.08983514574817272,0.041137774572348185,-0.7333901479321827
CL121.AG,-0.022692375093593457,0.07081799470857578,-0.7404518535539834
CL145.AG,-0.10533171561888624,0.018295133448463567,-0.7328908365574
CL146.AG,-0.12129911231030664,0.08497421135061807,-0.7247208866482453
CL151.AG,-0.10077470703076796,0.030734490924936495,-0.7219883987983875
CL23.AG,-0.04391316478066808,0.09849149343846263,-0.8356825790997284
CL25.AG,-0.05350900529674417,0.01612288526090291,-0.7903761739535355
CL30.AG,-0.02289308047100574,0.024427530187143203,-0.7390331370296354
CL31.AG,0.004816112985788298,0.0290259278108644,-0.64540828207904
CL36.AG,-0.07100204534153662,0.046358912220609304,-0.721526471851548
CL38.AG,-0.05223973483977123,0.04628340234844411,-0.7040449229500557
CL47.AG,-0.05583140361574,0.09317122391299404,-0.7346575054950251
CL49.AG,-0.08234145545458708,0.06193068431020991,-0.6879337740309988
CL53.AG,-0.07796373413980394,0.06246359428989012,-0.7063471617027844
CL57.AG,-0.06873224144278062,0.01738849045999151,-0.723600969654657
CL63.AG,-0.10879910228567348,0.04456003319984419,-0.6580516492410855
CL83.AG,-0.10558649941600018,0.053572618086748604,-0.7246116446083049
CL84.AG,-0.06399258591690837,0.06503820586814828,-0.7048082502916644
CL87.AG,-0.07985374862675738,0.049653969156870655,-0.6317817575017464
CL92.AG,-0.14982665123950675,0.09158766110675734,-0.5785240105007777
CL93.AG,-0.11929444630889421,0.008274177471244995,-0.6603817811218762
CL94.AG,-0.07106973401952413,-0.008590860151154955,-0.7721453387857333
CL97.AG,-0.051890554373011925,0.02141039319916796,-0.7136322514379168
SZ12.AG,1.6409965890182725,-0.5437751586064931,0.07487528455900548
SZ13.AG,1.6613295994669548,-0.5254454052825759,0.045447929254857765
SZ14.AG,1.6788731294293904,-0.48118370256098403,0.07132514589941243
SZ16.AG,1.6150530556534302,-0.4976090286613632,0.11645469415228453
SZ18.AG,1.6713145568770829,-0.5586722577174212,0.025775891713562385
SZ19.AG,1.6937248653963697,-0.5837660003539374,0.0028327518462817384
SZ22.AG,1.6835033055040665,-0.5417134146219924,0.0793629302141823
SZ23.AG,1.6463855624987693,-0.5739736867421413,0.06658442077111262
SZ24.AG,1.6218642177774953,-0.5445451537539995,0.11688413264574679
SZ25.AG,1.6289094538738524,-0.5345308793143744,0.10663056123241209
SZ27.AG,1.6829813861946097,-0.43812995902104557,0.0815497385148607
SZ28.AG,1.6866836527045834,-0.6147628935129211,0.08075138939899608
SZ30.AG,1.6429533833095005,-0.5679547504363273,0.04295924795504684
SZ31.AG,1.706105236606453,-0.5288873105506874,0.06591272131069474
SZ32.AG,1.7177489483590311,-0.4737498115036666,0.034149329038792926
SZ37.AG,1.658481815419292,-0.5879593064175077,0.11048823203083206
SZ38.AG,1.6892678467765256,-0.5816788304012215,0.03285554105446849
SZ40.AG,1.7339335880765208,-0.5727744781029932,0.11678416303436545
