dim	pearson	spearman
1	8.811232955096136e-05	-0.1362633961379815
2	-9.331145889849806e-05	0.10581226441741473
3	-7.532722777545443e-06	0.06884642872760326
4	4.6462349007604375e-05	0.055749899806284524
5	-1.6885052181558433e-05	-0.016039579308333413
6	-8.823657155068203e-05	-0.024960469803292865
