sample_id,coverage_observed_fraction,norm,pred_cov_from_z,pred_cov_from_z_unit
1H04.SG,0.3925506174564361,6.635338478135884,0.3803598146305376,0.3666475159525362
1H06.SG,0.5422019362449646,6.714446748356406,0.6242112713830466,0.6263250577139843
1H07.SG,0.2261087298393249,6.373040693129838,0.18958229724216835,0.20001975573950403
1H13.SG,0.5715049505233765,6.490998133392349,0.6012346985990007,0.6032461583390614
1H14.SG,0.4399020969867706,6.701996185386888,0.5024117343018588,0.5084300010394145
2H06.SG,0.0044963029213249,5.536167319206472,0.17838230500524332,0.1923644752077962
2H07.SG,0.348485380411148,6.6089794098151415,0.4343921604431671,0.4346764538995558
2H10.SG,0.9982514381408693,6.533532709825687,0.906963341808023,0.8842104757013658
2H11.SG,0.9992579221725464,6.709929812006257,0.8174388882653147,0.8079504190200169
2H17.SG,0.6903374195098877,6.713760607581227,0.6826285651322905,0.6775949067941838
2HC51961131.SG,0.4616009593009949,6.713030654753802,0.551028547963142,0.5536255860106394
3DT16.SG,0.4796591699123382,6.714069117741715,0.5637026698518639,0.568306729739561
3DT26.SG,0.6500418186187744,6.7135929201741265,0.7315791374271612,0.72586250877157
6DT18.SG,0.6572380065917969,6.463085794638966,0.6541330048466989,0.6632998947879969
6DT21.SG,0.6812807321548462,6.682862466275419,0.6747126827540342,0.6718553742084623
6DT22.SG,0.669748842716217,6.401731825548851,0.6938680169923828,0.6968512631360682
6DT23.SG,0.4697582125663757,6.69657877066988,0.5745014595827342,0.5792826515926208
6DT3.SG,0.8035900592803955,6.718447832865633,0.7679248577705948,0.7631768737346647
A1801.AG,0.8611668944358826,6.71707092610093,0.8211621422883582,0.814007264511929
A1802.AG,0.6716076731681824,6.546475933628221,0.6595287246454973,0.6627219916222202
A1803.AG,0.0114743318408727,5.346082222586458,0.04079504395281219,0.04132057904416797
A1804.AG,0.901213526725769,6.658144615797264,0.8110260459229721,0.8019882157659595
A1805.AG,0.5269628167152405,6.706677500404163,0.6411710405727717,0.640713724546913
A1806.AG,0.7342039346694946,6.7169530314860815,0.7107802968221222,0.7068217515206925
A1807.AG,0.9150958061218262,6.664651803959179,0.816775254158074,0.8082371462824085
A1808.AG,0.0824289768934249,6.2771549693838296,0.047334616234820714,0.05024475903428538
A1809.AG,0.7905172109603882,6.710679330828663,0.7864904297448447,0.7794293370934611
A1810.AG,0.8256717324256897,6.718181731969174,0.7808200158506224,0.7765156234945607
A181013.AG,0.2070845961570739,6.609067920079472,0.11166444942409726,0.12123085854091187
A181014.AG,0.8821585774421692,6.525370899385297,0.8264007786128786,0.8158301173366453
A181015.AG,0.8979994654655457,6.53066722915783,0.8349809985743377,0.8319328270613369
A181016.AG,0.2205653935670852,6.339343220640999,0.1972455037198415,0.19933782122825505
A181017.AG,0.3197411596775055,6.7060131064497845,0.35953462769293765,0.3622886971934349
A181018.AG,0.8920003175735474,6.277454648917413,0.7731547436810615,0.8011643213735624
A181019.AG,0.6814372539520264,6.714546092931681,0.6990816232173529,0.6930601630401725
A181020.AG,0.4694435596466064,6.154794268428563,0.5446948304102079,0.5795180661016275
A181021.AG,0.9034276008605956,6.717835576399009,0.7825699355121287,0.7712256169234024
A181022.AG,0.8416439890861511,6.71853424537642,0.7850456140176902,0.7804668308808687
A181023.AG,0.8982573747634888,6.717055855920676,0.7875518337596077,0.7789283819311095
A181024.AG,0.903409779071808,6.660941783551832,0.7842954868051493,0.7816130210230767
A181025.AG,0.9058542251586914,6.716950184567559,0.7881059676183213,0.780033817540243
A181026.AG,0.8996401429176331,6.69204946281578,0.7849466794787077,0.7768213626641227
A181027.AG,0.8806168437004089,6.716958789613949,0.7846307115059972,0.7733918458125117
A181028.AG,0.8890579342842102,6.712197996798345,0.7653974498698517,0.758515099183569
A181029.AG,0.8593875169754028,6.7166953356845,0.7953338223810533,0.7843889814312206
A1811.AG,0.7815221548080444,6.71694192365287,0.7196999245484221,0.7140685649546867
A1812.AG,0.7835740447044373,6.707021930569188,0.7507072442053868,0.7453833540785126
A1813.AG,0.7573950886726379,6.714828217044096,0.7801479578665749,0.7734764953838749
A1814.AG,0.8970676064491272,6.409890974674988,0.8675538313696052,0.8669957776105548
A1815.AG,0.8050247430801392,6.666657618033743,0.7569788603423149,0.7536302414482634
A1816.AG,0.8377405405044556,6.70607969660435,0.7532778664071884,0.7481232455656937
A1817.AG,0.823081374168396,6.539325527028564,0.8273785400956513,0.8242479226382784
A1818.AG,0.810207188129425,6.7000892030474395,0.7531824543743824,0.7478264717219645
A1819.AG,0.9121185541152954,6.65878467868717,0.8316414180312677,0.8265034152282169
A1820.AG,0.1110280230641365,6.38419704890451,0.11611920119548813,0.11442959390114993
A1821.AG,0.607481837272644,6.702368650564248,0.6522314789590382,0.6474939081817865
A1822.AG,0.8650752305984497,6.547021303104828,0.7898342948255959,0.7855917346391834
A1823.AG,0.7554510831832886,6.508510849809881,0.7271674655357856,0.7287719983560237
A1824.AG,0.8317795395851135,6.719126970215372,0.7627792413823045,0.7539926617291712
A1825.AG,0.2692704796791076,6.68943919374082,0.3296223902143538,0.3299768316137488
AAT001.AG,0.8645975589752197,6.714356448267657,0.6626836809573433,0.6501996214028622
AC16.AG,0.9338717460632324,6.717307929712266,0.9045886432099906,0.8986463953906423
ACG-19.SG,0.8265444040298462,6.5476559416849005,0.7525200568802575,0.7474289214133023
ACR001.AG,0.0450749509036541,5.763438282180871,0.02087694277497576,0.011090407904248423
ACR001_d.AG,0.0087055042386055,5.2851021439992865,-0.043407773073909084,-0.03239625003243418
ADN001.AG,0.6756401062011719,6.705995114585716,0.6669650667968199,0.6670960654455484
ADN002.AG,0.6628770232200623,6.709139236161662,0.6361447776089335,0.6307152386907546
ADN003.AG,0.654595673084259,6.6354934003070465,0.6720135381715409,0.6744332414964447
ADN004.AG,0.2115809023380279,6.55747225662737,0.14552265125576014,0.14578701559275942
ADN005.AG,0.7183314561843872,6.717096339487587,0.6686535384619674,0.6656048779032062
ADN006.AG,0.7161781787872314,6.701386767487744,0.6722255430486257,0.6722245320224829
ADN007.AG,0.7030518054962158,6.709633193092389,0.6957318763534204,0.6929758852229497
ADN008.AG,0.736941933631897,6.714228882366338,0.6735432419995959,0.6713147628770457
ADN009_ADN010_merge.AG,0.8052477836608887,6.712436208458357,0.7112551013965458,0.7071791711578044
ADN011.AG,0.64869225025177,6.715647315000799,0.6121931114398649,0.611452140828078
ADN012.AG,0.0236558746546506,5.103710953207588,-0.02124312669604933,-0.04894851063772876
ADN013.AG,0.6430345773696899,6.714399199960244,0.6706073763998575,0.6672183919354211
ADN014.AG,0.7070915102958679,6.715110863075437,0.6937546342387577,0.6888899734076404
ADN015.AG,0.7340822815895081,6.716970349524296,0.664009952626202,0.6649702847780645
AED106.SG,0.1406416594982147,6.574072492362899,0.04883679101430971,0.0432987932845208
AED1108.SG,0.1424786299467086,6.567826481996686,0.10829072005026319,0.10902266954417428
AED1119.SG,0.0813495069742202,6.258095132304594,0.11544582615647414,0.1089384428505582
AED1135b.SG,0.1321770399808883,6.539870548018535,0.12142128016967035,0.11311476961918743
AED125b.SG,0.0408673696219921,5.681292830238683,-0.004535728437645048,-0.00708573789552247
AED204.SG,0.1212347298860549,6.521634713692045,0.015411473499170825,0.009512020395959553
AED249.SG,0.1452993601560592,6.567790805580653,0.15233108378015459,0.15252583720393886
AED432b.SG,0.0952998846769332,6.351461137695587,0.07737466037997365,0.07973414070147555
AED513.SG,0.1262955069541931,6.46866337926589,0.1279331296843793,0.13084886564865883
AED92b.SG,0.0929819867014885,6.310946077883286,0.049688524182329274,0.03840946308901039
AEHIb.SG,0.1000776141881942,6.251518474889955,0.11704818688758678,0.11491038519125141
AGY-49.SG,0.8774611353874207,6.681736100239465,0.763317984666628,0.7563280724234573
AGY-75.SG,0.5546843409538269,6.716980608780301,0.6284358818588771,0.6254246675789545
AGY-87.SG,0.8596276044845581,6.713201673522407,0.7854867108271719,0.7799416144607676
AGY-92.SG,0.857609748840332,6.7053033586290285,0.7602079469475029,0.7560261352600719
AID001.AG,0.633144199848175,6.687589883892931,0.6212268043195763,0.6246522481742431
AID002.AG,0.6068411469459534,6.705649910986487,0.6408084704617067,0.6399716651021663
AID002_d.AG,0.2311613857746124,6.39615978507807,0.11852429593182023,0.11213582910841069
AID007.AG,0.6463070511817932,6.662112826084656,0.5536460296239056,0.560430511625782
AID008.AG,0.6675695776939392,6.528298756971535,0.6487936641115084,0.6450524067408878
AID008_d.AG,0.2774772047996521,6.445537837075825,0.2105329992748466,0.21469006295501458
AID009.AG,0.0795530974864959,6.168371805277132,0.10204098129565864,0.08967928919537371
AID010.AG,0.038950927555561,5.818833886162948,0.007881420005560358,0.008450452444321854
AID012.AG,0.0166275613009929,5.32371554740299,0.07979109588445965,0.08670682674164709
AID014.AG,0.0873786434531211,6.369867711895976,0.1352411533796385,0.13276994165153155
AID017.AG,0.1408525258302688,5.69733561993254,0.05213527600835732,0.023464938887627795
AITI_119.AG,0.453521579504013,6.709520653670789,0.4413235169154177,0.4437860266834832
AITI_120.AG.SG,0.4308592081069946,6.69374738521953,0.46895047175894433,0.4692432367146466
AITI_2.AG,0.6418229341506958,6.48847953490039,0.6175100602699786,0.6224754383215441
AITI_36.AG.SG,0.0177021659910678,5.283964193672119,-0.026243653902938036,-0.01680904493878188
AITI_40.AG.SG,0.1692220568656921,6.035918126722465,0.15562299492785314,0.14029731525761235
AITI_43.AG,0.7386816143989563,6.212184364132661,0.6998182063534841,0.7104513009430775
AITI_50.AG.SG,0.2708576619625091,6.648971599389978,0.2927399948321181,0.29638185663679906
AITI_62A.AG.SG,0.0149617241695523,5.3706523774066115,-0.0015680790676242395,-0.004453288211607287
AITI_65adult.AG.SG,0.4437690377235412,6.71111445780267,0.4612097170365814,0.46424624681549176
AITI_65adult_d.AG.SG,0.0044622402638196,5.584576836156328,0.1483062334192482,0.17663653213594444
AITI_66.AG.SG,0.612575888633728,6.645889870851374,0.6834071846678853,0.673937494436359
AITI_66_d.AG.SG,0.0089958496391773,5.29869677399852,0.07291286889994808,0.07129636522131477
AITI_70.AG.SG,0.3153348863124847,6.51688337501306,0.3815229657798227,0.38623116276448854
AITI_72.AG.SG,0.6001777648925781,6.703468135832379,0.59798219615368,0.5984064444346586
AITI_77A.AG.SG,0.215647354722023,6.658950985016525,0.24356466739709504,0.2432583809559219
AITI_77A_d.AG.SG,0.0020332308486104,5.472911177264512,-0.07579289341447293,-0.0688898818780217
AITI_77B.AG.SG,0.2616257965564728,6.681589485416386,0.2791313123652799,0.2797581012091541
AITI_77B_d.AG.SG,0.0020875693298876,5.827895013920896,0.1286759715108019,0.1453183419889683
AITI_78.AG.SG,0.5648505091667175,6.695656731050962,0.5403157264631773,0.5388879409547371
AITI_86.AG.SG,0.0019569948781281,5.839459569638246,0.023122013599277125,0.03761742668484658
AITI_87.AG.SG,0.1861788928508758,6.592030275313508,0.20920694101732806,0.20817780877041514
AITI_87_d.AG.SG,0.001750995288603,5.720173609961776,0.30433465968508244,0.3029956853160911
AITI_92.AG.SG,0.4021482467651367,6.710161515293223,0.48043782683089375,0.4841998784340831
AITI_92_d.AG.SG,0.0084954500198364,5.439912606888155,-0.10220385657135012,-0.10867841483968732
AITI_95.AG.SG,0.5330908894538879,6.704280366950638,0.6247742858663514,0.6254467418475542
AITI_95_d.AG.SG,0.0091321012005209,5.5064928412116,-0.008604207218354532,-0.006587022838630219
AITI_98.AG.SG,0.2786726355552673,6.6896605084900465,0.2750475173165796,0.2767082684504203
AKT16.SG,0.9586524963378906,6.714346616730439,0.8298369729509432,0.8205924121884891
ALA001_d.AG,0.1106127798557281,5.807457764506246,0.03194477144654684,0.029710578721733327
ALA002.AG,0.6094915270805359,6.714681205562348,0.6376307743794314,0.6321566963260921
ALA004.AG,0.5902979373931885,6.714583886201481,0.6206961284015051,0.6223522778655024
ALA008.AG,0.6130275726318359,6.3904606504227885,0.6883382892829104,0.6891694497853678
ALA009.AG,0.0930046960711479,6.311884952881268,0.07478428940589765,0.07948214974294388
ALA011.AG,0.5920546054840088,6.717561886241093,0.6256703099443257,0.6265001619894974
ALA013.AG,0.7822828888893127,6.718415800042696,0.7723263259390478,0.7651680385379223
ALA014_d.AG,0.0713536664843559,6.173420785443718,0.1200342906795413,0.11597467626324942
ALA016.AG,0.3078499436378479,6.656614308484345,0.3683130432054895,0.3800975712865693
ALA017.AG,0.4597275257110595,6.651320330915464,0.5017015366101987,0.5000428167986684
ALA018.AG,0.5840149521827698,6.520866383914373,0.6467934808320024,0.6467899705385207
ALA019.AG,0.6247630715370178,6.562208345923503,0.6198276699651615,0.6398094134483472
ALA020.AG,0.5654879808425903,6.698339074152897,0.6359863651787236,0.6343367001090883
ALA023.AG,0.1234058365225792,6.530331437435535,0.08058998338628953,0.07757252786359459
ALA024.AG,0.0599693581461906,6.019199876876319,0.06862866552023661,0.0692835070858564
ALA025.AG,0.5897886157035828,6.6852935698737195,0.6641464117483338,0.6653784178506612
ALA026.AG,0.7831223011016846,6.5901755217706,0.7828847092296201,0.7747756236321948
ALA028.AG,0.7205974459648132,6.717587691988749,0.689935826812416,0.686786530358404
ALA029.AG,0.569708526134491,6.715125236806556,0.6135029629267592,0.6117044932270801
ALA030.AG,0.6250947713851929,6.715407386678453,0.6570291389157319,0.6570455096198202
ALA034.AG,0.686322033405304,6.574183263141978,0.6920264720793057,0.6921636349998153
ALA035.AG,0.1954026371240615,6.648470847699285,0.1664470227201491,0.1673368695519457
ALA037.AG,0.1959371119737625,6.663614158217302,0.1485317658944041,0.14521779475035146
ALA038.AG,0.0520302690565586,5.920218731166185,0.07232398478959112,0.08093903378176037
ALA039.AG,0.641807496547699,6.669748478114759,0.6332679211500363,0.6297756962039784
ALA084.AG,0.1010508388280868,6.403935517329966,0.07715325924868921,0.07371477265132853
ALA095.AG,0.4913216531276703,6.693907090335121,0.5254298438121623,0.5294611482713663
ALA110_ALA015_merge.AG,0.4187101125717163,6.711953708254186,0.46224906465204185,0.4664482520565798
ALA118.AG,0.2488570660352707,6.676687317683045,0.19988124882729608,0.20786470142502367
ALA120.AG,0.7627754211425781,6.707440288311651,0.6816249828361833,0.6796194401422326
ALA123.AG,0.5897066593170166,6.706883559109373,0.6303951855938976,0.6266217386273638
ALA124.AG,0.3679969310760498,6.661215870644786,0.3363055422855723,0.341539715062936
ALA128.AG,0.2033011764287948,6.4412939911942395,0.0971357299392821,0.09673465567675521
ALA130.AG,0.6874436736106873,6.716183214482683,0.6621406495992233,0.660888028066438
ALA131.AG,0.4886623322963714,6.707744550108497,0.531499975398674,0.5372894265028663
ALA135.AG,0.6937996745109558,6.719310547011416,0.7105860280748857,0.7071847681481813
ALA136.AG,0.158257856965065,6.406036055721328,0.07915712393059948,0.07652341726134182
ALA138.AG,0.253019243478775,6.688075689789036,0.22665288601638167,0.23645106052481424
ALM001_merged.AG,0.401544839143753,6.689689577983252,0.5274084412253615,0.531944164305969
ALM002_merged.AG,0.4443870484828949,6.344408766456775,0.5480058490811643,0.5555797763936425
ALM003.AG,0.4871108531951904,6.655675330080114,0.5883615392253887,0.5876786400522178
ALM004.AG,0.2525147795677185,6.684826506877013,0.27153609461220185,0.27796968002803624
ALM006.AG,0.655083954334259,6.714074759162626,0.6091685037022216,0.6038206605671803
ALM007.AG,0.418917715549469,5.834859003571831,0.47508375115330637,0.48046278399033326
ALM008.AG,0.603053629398346,6.714272053085222,0.6615153666461993,0.660191070932342
ALM014.AG,0.1399020105600357,6.547079273005322,0.10775983309258663,0.10495958365663682
ALM015_merged.AG,0.5698772072792053,6.695304980567054,0.5270969393363885,0.535114985801556
ALM016_merged.AG,0.7086040377616882,6.210749564704499,0.6733220468845502,0.6867812728273748
ALM017.AG,0.6658681035041809,6.709969290544088,0.6319490979717557,0.627563605989053
ALM018.AG,0.2520857453346252,6.638664864904898,0.2791667574697385,0.2842864902158908
ALM019_merged.AG,0.7094604969024658,6.20006946512317,0.6698581917457886,0.7071941965918995
ALM020.AG,0.5346618294715881,6.628706762761286,0.5538533362623639,0.5555686102852633
