run_name	pc_index	pc_coverage_r	pc_coverage_p
SNPtoken_S7	1	-0.8875875041659509	0.0
SNPtoken_S7	2	-0.07125607237830352	7.812650672809904e-13
SNPtoken_S7	3	0.14451309456812	3.341216602114475e-48
SNPtoken_S7	4	0.06256852349656818	3.1934740655155726e-10
SNPtoken_S7	5	-0.06507606138003995	6.084240160652848e-11
SNPtoken_S7	6	-0.020242681298263548	0.04206160010911477
SNPtoken_S7	7	0.2115954787866063	1.8703678355508253e-102
SNPtoken_S7	8	-0.0417089118225059	2.7884174056277007e-05
SNPtoken_S7	9	-0.030717244426106995	0.0020338097781275734
SNPtoken_S7	10	-0.15912490483336386	3.44794372291163e-58
SNPtoken_MT8_feedback	1	-0.75958037978951	0.0
SNPtoken_MT8_feedback	2	0.0967447588333722	2.083558532363031e-22
SNPtoken_MT8_feedback	3	0.30173221757498125	2.4956672781749066e-211
SNPtoken_MT8_feedback	4	-0.05214694163123181	1.6058930884216594e-07
SNPtoken_MT8_feedback	5	0.006376851658242667	0.5219460710807156
SNPtoken_MT8_feedback	6	0.046413917863361964	3.1126579897302333e-06
SNPtoken_MT8_feedback	7	0.3292971647855705	1.1211614905541486e-253
SNPtoken_MT8_feedback	8	-0.2802250732185091	2.3746683255384837e-181
SNPtoken_MT8_feedback	9	-0.03462377069717035	0.000505461865796812
SNPtoken_MT8_feedback	10	0.01324940935037813	0.18334717885381338
