sample_id,dim1,dim2,dim3,observed_fraction,country,original_group_id,date_mean_bp,pc1,pc3
Kou01.SG,1.907013352374901,-0.5211030180452719,-0.4669609993180714,0.8861277103424072,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,1.907013352374901,-0.4669609993180714
Kou03.SG,1.89176206972624,-0.5286298389999982,-0.4892871242587299,0.907782018184662,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,1.89176206972624,-0.4892871242587299
cay004.SG,1.4422714069953226,-0.3758548560681108,-0.6106790903965708,0.0712214708328247,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8396.0,1.4422714069953226,-0.6106790903965708
cay007.SG,1.4347976056562757,-0.3681224452001062,-0.5611402636825892,0.3812960684299469,Turkey,Turkey_Southeast_Cayonu_PPN.SG,9375.0,1.4347976056562757,-0.5611402636825892
cay008.SG,1.4540424075336114,-0.3613903314986642,-0.6068724605185644,0.0792489647865295,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8641.0,1.4540424075336114,-0.6068724605185644
cay013.SG,1.4592214249935642,-0.3757767984709779,-0.5880408745753269,0.1320845782756805,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8591.0,1.4592214249935642,-0.5880408745753269
AV1.AG,1.6830077699655126,-0.547132952170051,0.0563004917162119,0.6938337087631226,Hungary,Hungary_Avar_5.AG,1360.0,1.6830077699655126,0.0563004917162119
AV2.AG,1.6651217439911412,-0.51071142625673,0.0496015991124334,0.6670691967010498,Hungary,Hungary_Avar_5_daughter.or.mother.AV1.AG,1348.0,1.6651217439911412,0.0496015991124334
CL102.AG,-0.0898351457481727,0.0411377745723481,-0.7333901479321827,0.3576199114322662,Italy,Italy_North_EarlyMedieval_Langobards_o1.AG,1345.0,-0.0898351457481727,-0.7333901479321827
CL121.AG,-0.0226923750935934,0.0708179947085757,-0.7404518535539834,0.7398089170455933,Italy,Italy_North_EarlyMedieval_Langobards_o3.AG,1345.0,-0.0226923750935934,-0.7404518535539834
