sample_id,country,original_group_id,date_mean_bp,observed_fraction,dim1,dim2,dim3
Kou01.SG,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,0.8861277103424072,1.907013352374901,-0.46696099931807145,2.212179871349102
Kou03.SG,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,0.907782018184662,1.8917620697262398,-0.4892871242587299,2.1770668088464755
cay004.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8396.0,0.0712214708328247,1.4422714069953226,-0.6106790903965708,0.9415242109233538
cay007.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,9375.0,0.3812960684299469,1.4347976056562755,-0.5611402636825892,0.9384288916168273
cay008.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8641.0,0.0792489647865295,1.4540424075336114,-0.6068724605185644,0.9485135757887956
cay013.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8591.0,0.1320845782756805,1.4592214249935642,-0.5880408745753269,0.9719000619363632
AV1.AG,Hungary,Hungary_Avar_5.AG,1360.0,0.6938337087631226,1.6830077699655126,0.05630049171621192,-1.112367911673986
AV2.AG,Hungary,Hungary_Avar_5_daughter.or.mother.AV1.AG,1348.0,0.6670691967010498,1.6651217439911412,0.049601599112433455,-1.1080731479164818
CL102.AG,Italy,Italy_North_EarlyMedieval_Langobards_o1.AG,1345.0,0.3576199114322662,-0.08983514574817272,-0.7333901479321827,0.41020641878034886
CL121.AG,Italy,Italy_North_EarlyMedieval_Langobards_o3.AG,1345.0,0.7398089170455933,-0.022692375093593457,-0.7404518535539834,0.3921902891548187
CL145.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_brother.CL146_son.CL151.AG,1345.0,0.7130444049835205,-0.10533171561888624,-0.7328908365574,0.388298314117504
CL146.AG,Italy,Italy_North_EarlyMedieval_Langobards_1.AG,1345.0,0.7226817607879639,-0.12129911231030664,-0.7247208866482453,0.38462750392604694
CL151.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_mother.CL145_mother.CL146.AG,1345.0,0.6262732148170471,-0.10077470703076796,-0.7219883987983875,0.4007986485032954
CL23.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.736739993095398,-0.04391316478066808,-0.8356825790997284,0.45249543186149005
CL25.AG,Italy,Italy_North_EarlyMedieval_Langobards_3.AG,1345.0,0.5952297449111938,-0.05350900529674417,-0.7903761739535355,0.4381483074695691
CL30.AG,Italy,Italy_North_EarlyMedieval_Langobards_3.AG,1345.0,0.7169454097747803,-0.02289308047100574,-0.7390331370296354,0.42055605575674043
CL31.AG,Italy,Italy_North_EarlyMedieval_Langobards.AG,1345.0,0.694735586643219,0.004816112985788298,-0.64540828207904,0.30765093899258933
