sample_id,PC1,PC2,PC3,PC4,PC5,PC6,country,original_group_id,date_mean_bp,observed_fraction
Kou01.SG,1.907013352374901,-0.5211030180452719,-0.46696099931807145,-0.7074833256127068,-0.01115894258301041,2.212179871349102,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,0.8861277103424072
Kou03.SG,1.8917620697262398,-0.5286298389999982,-0.4892871242587299,-0.7063234446985167,-0.012149060847193728,2.1770668088464755,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,0.907782018184662
cay004.SG,1.4422714069953226,-0.3758548560681108,-0.6106790903965708,-0.710699265040811,0.5333238324714451,0.9415242109233538,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8396.0,0.0712214708328247
cay007.SG,1.4347976056562755,-0.36812244520010623,-0.5611402636825892,-0.7007255006432273,0.5269407784363261,0.9384288916168273,Turkey,Turkey_Southeast_Cayonu_PPN.SG,9375.0,0.3812960684299469
cay008.SG,1.4540424075336114,-0.36139033149866423,-0.6068724605185644,-0.722946051541305,0.545980963937633,0.9485135757887956,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8641.0,0.0792489647865295
cay013.SG,1.4592214249935642,-0.3757767984709779,-0.5880408745753269,-0.7202503317068762,0.544437741449277,0.9719000619363632,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8591.0,0.1320845782756805
AV1.AG,1.6830077699655126,-0.547132952170051,0.05630049171621192,0.561275305698251,-0.1517678453298722,-1.112367911673986,Hungary,Hungary_Avar_5.AG,1360.0,0.6938337087631226
AV2.AG,1.6651217439911412,-0.51071142625673,0.049601599112433455,0.6285303030666763,-0.19907278461466546,-1.1080731479164818,Hungary,Hungary_Avar_5_daughter.or.mother.AV1.AG,1348.0,0.6670691967010498
CL102.AG,-0.08983514574817272,0.041137774572348185,-0.7333901479321827,-0.9899723847594817,0.16906331342043568,0.41020641878034886,Italy,Italy_North_EarlyMedieval_Langobards_o1.AG,1345.0,0.3576199114322662
CL121.AG,-0.022692375093593457,0.07081799470857578,-0.7404518535539834,-1.0457298416843681,0.21968065580746277,0.3921902891548187,Italy,Italy_North_EarlyMedieval_Langobards_o3.AG,1345.0,0.7398089170455933
