sample_id,country,original_group_id,date_mean_bp,observed_fraction,dim1,dim2,dim3
Kou01.SG,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,0.8861277103424072,-0.7074833256127068,-0.01115894258301041,2.212179871349102
Kou03.SG,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,0.907782018184662,-0.7063234446985167,-0.012149060847193728,2.1770668088464755
cay004.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8396.0,0.0712214708328247,-0.710699265040811,0.5333238324714451,0.9415242109233538
cay007.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,9375.0,0.3812960684299469,-0.7007255006432273,0.5269407784363261,0.9384288916168273
cay008.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8641.0,0.0792489647865295,-0.722946051541305,0.545980963937633,0.9485135757887956
cay013.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8591.0,0.1320845782756805,-0.7202503317068762,0.544437741449277,0.9719000619363632
AV1.AG,Hungary,Hungary_Avar_5.AG,1360.0,0.6938337087631226,0.561275305698251,-0.1517678453298722,-1.112367911673986
AV2.AG,Hungary,Hungary_Avar_5_daughter.or.mother.AV1.AG,1348.0,0.6670691967010498,0.6285303030666763,-0.19907278461466546,-1.1080731479164818
CL102.AG,Italy,Italy_North_EarlyMedieval_Langobards_o1.AG,1345.0,0.3576199114322662,-0.9899723847594817,0.16906331342043568,0.41020641878034886
CL121.AG,Italy,Italy_North_EarlyMedieval_Langobards_o3.AG,1345.0,0.7398089170455933,-1.0457298416843681,0.21968065580746277,0.3921902891548187
CL145.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_brother.CL146_son.CL151.AG,1345.0,0.7130444049835205,-0.9336305456422881,0.164665584323589,0.388298314117504
CL146.AG,Italy,Italy_North_EarlyMedieval_Langobards_1.AG,1345.0,0.7226817607879639,-1.0358083485380516,0.16451119089310934,0.38462750392604694
CL151.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_mother.CL145_mother.CL146.AG,1345.0,0.6262732148170471,-1.032051567469333,0.2087814865848446,0.4007986485032954
CL23.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.736739993095398,-1.0090356751511085,0.15232481638319806,0.45249543186149005
CL25.AG,Italy,Italy_North_EarlyMedieval_Langobards_3.AG,1345.0,0.5952297449111938,-0.9991335326546625,0.19819515088089917,0.4381483074695691
CL30.AG,Italy,Italy_North_EarlyMedieval_Langobards_3.AG,1345.0,0.7169454097747803,-0.9935772859922762,0.1777038492542681,0.42055605575674043
CL31.AG,Italy,Italy_North_EarlyMedieval_Langobards.AG,1345.0,0.694735586643219,-0.9474540389483461,0.2051589947420209,0.30765093899258933
CL36.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.5851089954376221,-0.9886912112888312,0.20910311377705978,0.3639520163174865
CL38.AG,Italy,Italy_North_EarlyMedieval_Langobards_3.AG,1345.0,0.6540215015411377,-1.0324435045388614,0.22078740682166423,0.34666883214714905
CL47.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.6682322025299072,-1.0567055863137325,0.19078445491414503,0.4042587878221346
CL49.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.2650628983974457,-0.9831921621923494,0.1902777530088055,0.3837472570139867
CL53.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.2829313278198242,-1.063663993608461,0.21059500853659346,0.39732298399485466
CL57.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.6720991730690002,-1.0155125870295454,0.15582835715655088,0.3446937586707413
CL63.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.7293264269828796,-0.9463068273165455,0.20334920043569346,0.37089333790639806
CL83.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_brother.CL84_son.CL87.AG,1345.0,0.6040658354759216,-0.9725698587676113,0.21545454093105323,0.32420769493484364
CL84.AG,Italy,Italy_North_EarlyMedieval_Langobards_1.AG,1345.0,0.7002967596054077,-0.935138852925235,0.21923514644168304,0.4066103986405757
CL87.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_mother.CL83_mother.CL84_daughter.CL102.AG,1345.0,0.7402566075325012,-1.0186966112703388,0.23632084343411291,0.38023546511485123
