sample_id,country,original_group_id,date_mean_bp,observed_fraction,dim1,dim2,dim3
Kou01.SG,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,0.8861277103424072,1.907013352374901,-0.46696099931807145,-0.01115894258301041
Kou03.SG,Greece,Greece_Koufonisi_Cycladic_EBA.SG,4250.0,0.907782018184662,1.8917620697262398,-0.4892871242587299,-0.012149060847193728
cay004.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8396.0,0.0712214708328247,1.4422714069953226,-0.6106790903965708,0.5333238324714451
cay007.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,9375.0,0.3812960684299469,1.4347976056562755,-0.5611402636825892,0.5269407784363261
cay008.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8641.0,0.0792489647865295,1.4540424075336114,-0.6068724605185644,0.545980963937633
cay013.SG,Turkey,Turkey_Southeast_Cayonu_PPN.SG,8591.0,0.1320845782756805,1.4592214249935642,-0.5880408745753269,0.544437741449277
AV1.AG,Hungary,Hungary_Avar_5.AG,1360.0,0.6938337087631226,1.6830077699655126,0.05630049171621192,-0.1517678453298722
AV2.AG,Hungary,Hungary_Avar_5_daughter.or.mother.AV1.AG,1348.0,0.6670691967010498,1.6651217439911412,0.049601599112433455,-0.19907278461466546
CL102.AG,Italy,Italy_North_EarlyMedieval_Langobards_o1.AG,1345.0,0.3576199114322662,-0.08983514574817272,-0.7333901479321827,0.16906331342043568
CL121.AG,Italy,Italy_North_EarlyMedieval_Langobards_o3.AG,1345.0,0.7398089170455933,-0.022692375093593457,-0.7404518535539834,0.21968065580746277
CL145.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_brother.CL146_son.CL151.AG,1345.0,0.7130444049835205,-0.10533171561888624,-0.7328908365574,0.164665584323589
CL146.AG,Italy,Italy_North_EarlyMedieval_Langobards_1.AG,1345.0,0.7226817607879639,-0.12129911231030664,-0.7247208866482453,0.16451119089310934
CL151.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_mother.CL145_mother.CL146.AG,1345.0,0.6262732148170471,-0.10077470703076796,-0.7219883987983875,0.2087814865848446
CL23.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.736739993095398,-0.04391316478066808,-0.8356825790997284,0.15232481638319806
CL25.AG,Italy,Italy_North_EarlyMedieval_Langobards_3.AG,1345.0,0.5952297449111938,-0.05350900529674417,-0.7903761739535355,0.19819515088089917
CL30.AG,Italy,Italy_North_EarlyMedieval_Langobards_3.AG,1345.0,0.7169454097747803,-0.02289308047100574,-0.7390331370296354,0.1777038492542681
CL31.AG,Italy,Italy_North_EarlyMedieval_Langobards.AG,1345.0,0.694735586643219,0.004816112985788298,-0.64540828207904,0.2051589947420209
CL36.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.5851089954376221,-0.07100204534153662,-0.721526471851548,0.20910311377705978
CL38.AG,Italy,Italy_North_EarlyMedieval_Langobards_3.AG,1345.0,0.6540215015411377,-0.05223973483977123,-0.7040449229500557,0.22078740682166423
CL47.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.6682322025299072,-0.05583140361574,-0.7346575054950251,0.19078445491414503
CL49.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.2650628983974457,-0.08234145545458708,-0.6879337740309988,0.1902777530088055
CL53.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.2829313278198242,-0.07796373413980394,-0.7063471617027844,0.21059500853659346
CL57.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.6720991730690002,-0.06873224144278062,-0.723600969654657,0.15582835715655088
CL63.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.7293264269828796,-0.10879910228567348,-0.6580516492410855,0.20334920043569346
CL83.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_brother.CL84_son.CL87.AG,1345.0,0.6040658354759216,-0.10558649941600018,-0.7246116446083049,0.21545454093105323
CL84.AG,Italy,Italy_North_EarlyMedieval_Langobards_1.AG,1345.0,0.7002967596054077,-0.06399258591690837,-0.7048082502916644,0.21923514644168304
CL87.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_mother.CL83_mother.CL84_daughter.CL102.AG,1345.0,0.7402566075325012,-0.07985374862675738,-0.6317817575017464,0.23632084343411291
CL92.AG,Italy,Italy_North_EarlyMedieval_Langobards_1_son.CL93.AG,1345.0,0.6477766036987305,-0.14982665123950675,-0.5785240105007777,0.15891078679056725
CL93.AG,Italy,Italy_North_EarlyMedieval_Langobards_1.AG,1345.0,0.6753789186477661,-0.11929444630889421,-0.6603817811218762,0.22239298941811828
CL94.AG,Italy,Italy_North_EarlyMedieval_Langobards_2.AG,1345.0,0.7479126453399658,-0.07106973401952413,-0.7721453387857333,0.2266253189442127
CL97.AG,Italy,Italy_North_EarlyMedieval_Langobards_1.AG,1345.0,0.0792221948504448,-0.051890554373011925,-0.7136322514379168,0.21036014732051442
SZ12.AG,Hungary,Hungary_Langobard.AG,1442.0,0.4517722129821777,1.6409965890182725,0.07487528455900548,-0.12701146995686752
SZ13.AG,Hungary,Hungary_Langobard_son.SZ24_father.SZ7_brother.SZ22.AG,1462.0,0.7076778411865234,1.6613295994669548,0.045447929254857765,-0.09671020310052095
SZ14.AG,Hungary,Hungary_Langobard.AG,1442.0,0.3120461702346802,1.6788731294293904,0.07132514589941243,-0.06869880678990956
SZ16.AG,Hungary,Hungary_Langobard.AG,1442.0,0.5609956979751587,1.6150530556534302,0.11645469415228453,-0.012472197997197575
SZ18.AG,Hungary,Hungary_Langobard_o2.AG,1442.0,0.6223511099815369,1.6713145568770829,0.025775891713562385,-0.08097152973027603
SZ19.AG,Hungary,Hungary_Langobard_o1.AG,1456.0,0.6531690955162048,1.6937248653963697,0.0028327518462817384,-0.09259070148994208
SZ22.AG,Hungary,Hungary_Langobard_son.SZ24_brother.SZ22.AG,1442.0,0.5999279618263245,1.6835033055040665,0.0793629302141823,-0.11066588302160324
SZ23.AG,Hungary,Hungary_Langobard.AG,1442.0,0.6186934113502502,1.6463855624987693,0.06658442077111262,-0.1035896536741822
SZ24.AG,Hungary,Hungary_Langobard.AG,1442.0,0.3857996761798858,1.6218642177774953,0.11688413264574679,-0.08659684834768168
SZ25.AG,Hungary,Hungary_Langobard.AG,1442.0,0.308965116739273,1.6289094538738524,0.10663056123241209,-0.02960037442869652
SZ27.AG,Hungary,Hungary_Langobard_o2.AG,1467.0,0.7584518790245056,1.6829813861946097,0.0815497385148607,-0.01773879191610755
SZ28.AG,Hungary,Hungary_Langobard_o2.AG,1442.0,0.6555202603340149,1.6866836527045834,0.08075138939899608,-0.11737026850190069
SZ30.AG,Hungary,Hungary_Langobard.AG,1442.0,0.3956179022789001,1.6429533833095005,0.04295924795504684,-0.09781362618769546
SZ31.AG,Hungary,Hungary_Langobard_o1.AG,1442.0,0.1066639199852943,1.706105236606453,0.06591272131069474,-0.09244379359894969
SZ32.AG,Hungary,Hungary_Langobard_o1.AG,1442.0,0.6706295609474182,1.7177489483590311,0.034149329038792926,-0.14420709913754778
SZ37.AG,Hungary,Hungary_Langobard_o1.AG,1430.0,0.4217660427093506,1.658481815419292,0.11048823203083206,-0.16376567063820774
SZ38.AG,Hungary,Hungary_Langobard.AG,1442.0,0.6284191608428955,1.6892678467765256,0.03285554105446849,-0.18002619621533308
SZ40.AG,Hungary,Hungary_Langobard_o1.AG,1442.0,0.6284118890762329,1.7339335880765208,0.11678416303436545,-0.0980632909917029
SZ41.AG,Hungary,Hungary_Langobard.AG,1442.0,0.181651771068573,1.6465761521936162,0.09943177707703489,-0.09040850349592128
SZ42.AG,Hungary,Hungary_Langobard.AG,1442.0,0.7213305830955505,1.6691271788255755,0.08678165102910325,-0.05443386039471284
SZ7.AG,Hungary,Hungary_Langobard.AG,1442.0,0.6450029611587524,1.6559136100256613,0.13188640555109032,-0.11361020887411186
SZ8.AG,Hungary,Hungary_Langobard_sister.SZ14_sister.SZ6.AG,1442.0,0.1772268414497375,1.626736765291099,0.01858531417690332,-0.1628260897111767
SZ9.AG,Hungary,Hungary_Langobard.AG,1442.0,0.700106143951416,1.6625513148082567,0.11828409098442678,-0.038495751392285754
