sample_id	observed_fraction	country	original_group_id	date_mean_bp
I14792.AG	0.6431699991226196	Turkey	Turkey_Southeast_Kilis_EBA_A.AG	4247.0
I14794.AG	0.445720374584198	Turkey	Turkey_Southeast_Kilis_EBA_A.AG	4450.0
I14797.AG	0.5826061964035034	Turkey	Turkey_Southeast_Kilis_EBA_A.AG	4450.0
I14798.AG	0.5404930710792542	Turkey	Turkey_Southeast_Kilis_EBA_A.AG	4450.0
I14799.AG	0.518337607383728	Turkey	Turkey_Marmara_Iznik_Basilica_Roman_Byzantine_A.AG	1575.0
I14800.AG	0.6116796731948853	UnitedKingdom	England_MIA.AG	2228.0
I14801.AG	0.5972418785095215	UnitedKingdom	England_MIA.AG	2214.0
I14802.AG	0.30262941122055054	UnitedKingdom	England_MIA.AG	2247.0
I14803.AG	0.28181859850883484	UnitedKingdom	England_MIA_highEEF.AG	2224.0
I14804.AG	0.6303623914718628	UnitedKingdom	England_MIA.AG	2233.0
I14807.AG	0.5304794311523438	UnitedKingdom	England_MIA.AG	2241.0
I14808.AG	0.3026391565799713	UnitedKingdom	England_MIA.AG	2274.0
I14809.AG	0.4468493163585663	UnitedKingdom	England_MIA_LIA.AG	2199.0
I14820.AG	0.6925725936889648	Turkey	Turkey_Marmara_Balikesir_Byzantine.AG	390.0
I14821.AG	0.6715120077133179	Turkey	Turkey_Marmara_Balikesir_Byzantine.AG	1150.0
I14822.AG	0.6834153532981873	Turkey	Turkey_Marmara_Balikesir_Byzantine.AG	1150.0
I14823.AG	0.7079527974128723	Turkey	Turkey_Marmara_Balikesir_PostMedieval.AG	377.0
I14824.AG	0.6858678460121155	Turkey	Turkey_Marmara_Balikesir_Byzantine.AG	1456.0
I14831.AG	0.687375545501709	Turkey	Turkey_Marmara_Balikesir_Byzantine.AG	1150.0
I14832.AG	0.7021799683570862	Turkey	Turkey_Marmara_Balikesir_Byzantine.AG	1150.0
I14833.AG	0.41084563732147217	Turkey	Turkey_Marmara_Iznik_Y.kapi_Byzantine.AG	1400.0
I14837.AG	0.495331346988678	UnitedKingdom	England_MIA_LIA.AG	2046.0
I14839.AG	0.7077443599700928	Turkey	Turkey_Marmara_Iznik_Y.kapi_Byzantine.AG	1466.0
I14840.AG	0.39618074893951416	Turkey	Turkey_Marmara_Iznik_Y.kapi_Byzantine.AG	1478.0
I14842.AG	0.6474716663360596	Turkey	Turkey_Marmara_Iznik_Y.kapi_Byzantine.AG	1400.0
I14843.AG	0.659647524356842	Turkey	Turkey_Marmara_Iznik_Y.kapi_Byzantine.AG	1400.0
I14844.AG	0.7219315767288208	Turkey	Turkey_Marmara_Iznik_Y.kapi_PostMedieval.AG	386.0
I14845.AG	0.4536626935005188	Turkey	Turkey_Marmara_Apollonia_Roman.AG	1900.0
I14846.AG	0.050364430993795395	Germany	Germany_Medieval_Jewish.AG	625.0
I14847.AG	0.7152876853942871	Germany	Germany_Medieval_Jewish.AG	625.0
I14850.AG	0.4688490629196167	Germany	Germany_Medieval_Jewish.AG	604.0
I14851.AG	0.3626563549041748	Germany	Germany_Medieval_Jewish.AG	604.0
I14852.AG	0.21957513689994812	Germany	Germany_Medieval_Jewish.AG	625.0
I14853.AG	0.44192638993263245	Germany	Germany_Medieval_Jewish_son.I14850.brother.I14898.AG	606.0
