sample_id,z1,z2,z3,z4,z5,z6
Kou01.SG,-0.4319097697734833,-0.06768948584794998,-2.3070740699768066,0.31764358282089233,1.6766915321350098,0.0008466766448691487
Kou03.SG,-0.44656604528427124,-0.05931418389081955,-2.297673225402832,0.2861761748790741,1.654465675354004,0.01370937004685402
cay004.SG,-1.053790807723999,0.16413341462612152,-1.4844849109649658,-0.5971506237983704,1.280747413635254,-0.2400342971086502
cay007.SG,-1.0464019775390625,0.17000988125801086,-1.4585230350494385,-0.5629028677940369,1.2677831649780273,-0.26484188437461853
cay008.SG,-1.0511102676391602,0.1625712513923645,-1.4888156652450562,-0.6003434658050537,1.2997376918792725,-0.25798147916793823
cay013.SG,-1.052422285079956,0.1519213616847992,-1.4970875978469849,-0.5695521235466003,1.3032432794570923,-0.25899890065193176
AV1.AG,-1.6624655723571777,2.085536003112793,-0.250805526971817,-0.38274550437927246,0.21497011184692383,0.02793249487876892
AV2.AG,-1.6037092208862305,2.1146106719970703,-0.2098335474729538,-0.3693690299987793,0.20759044587612152,0.07548259198665619
CL102.AG,-0.45835915207862854,-0.3698488175868988,-0.7996201515197754,-1.3847213983535767,0.14692795276641846,-0.3614395260810852
CL121.AG,-0.48877865076065063,-0.34539031982421875,-0.8314775824546814,-1.422957420349121,0.20655344426631927,-0.423720121383667
CL145.AG,-0.4761340618133545,-0.35541269183158875,-0.7612541913986206,-1.36978018283844,0.12865787744522095,-0.3180510997772217
CL146.AG,-0.4307556450366974,-0.3765842020511627,-0.7877755761146545,-1.425331473350525,0.12297132611274719,-0.41235119104385376
CL151.AG,-0.4908621907234192,-0.39963191747665405,-0.803019106388092,-1.401332139968872,0.1458677500486374,-0.4009683132171631
CL23.AG,-0.39823129773139954,-0.3562031090259552,-0.8626779317855835,-1.4514203071594238,0.21612192690372467,-0.32566848397254944
CL25.AG,-0.4861740171909332,-0.3838379681110382,-0.8468279242515564,-1.4057865142822266,0.19385148584842682,-0.3288421928882599
CL30.AG,-0.4842049181461334,-0.3406543731689453,-0.8400172591209412,-1.3683395385742188,0.18650370836257935,-0.36095622181892395
CL31.AG,-0.5509644150733948,-0.25217708945274353,-0.748149037361145,-1.3384290933609009,0.16354866325855255,-0.41606396436691284
CL36.AG,-0.5006380677223206,-0.34527644515037537,-0.7728378772735596,-1.4022780656814575,0.1605989634990692,-0.38719332218170166
CL38.AG,-0.5196688175201416,-0.33859068155288696,-0.7922415137290955,-1.4109858274459839,0.1588943600654602,-0.4335077702999115
CL47.AG,-0.4457217752933502,-0.36034560203552246,-0.8273876309394836,-1.4255340099334717,0.18256594240665436,-0.4312181770801544
CL49.AG,-0.4701952636241913,-0.3503671884536743,-0.7617765069007874,-1.371549129486084,0.1529993712902069,-0.4012987017631531
CL53.AG,-0.47750765085220337,-0.3849717378616333,-0.8144692778587341,-1.4088886976242065,0.16108101606369019,-0.4453926682472229
CL57.AG,-0.49864402413368225,-0.32468095421791077,-0.8125173449516296,-1.4013493061065674,0.10794810205698013,-0.3859201967716217
CL63.AG,-0.4898150563240051,-0.35763224959373474,-0.7160981893539429,-1.3455876111984253,0.13575926423072815,-0.39150819182395935
CL83.AG,-0.5078029632568359,-0.34187960624694824,-0.7307310104370117,-1.4271777868270874,0.13505494594573975,-0.3817956745624542
CL84.AG,-0.4776573181152344,-0.3506517708301544,-0.7431939244270325,-1.3599117994308472,0.20209279656410217,-0.36449119448661804
CL87.AG,-0.5096868872642517,-0.3739739954471588,-0.7540902495384216,-1.349571704864502,0.15789897739887238,-0.4647010564804077
CL92.AG,-0.40041670203208923,-0.3994608223438263,-0.7116956114768982,-1.2840545177459717,0.11471995711326599,-0.451396644115448
CL93.AG,-0.5108477473258972,-0.418213427066803,-0.7744525074958801,-1.3513363599777222,0.1277807056903839,-0.4245188236236572
CL94.AG,-0.5261150002479553,-0.4051009714603424,-0.8422871232032776,-1.413838267326355,0.1728692501783371,-0.3587305545806885
CL97.AG,-0.5156060457229614,-0.3525628447532654,-0.8027873635292053,-1.382148027420044,0.16558431088924408,-0.39278799295425415
SZ12.AG,-1.6444129943847656,2.016944408416748,-0.23953601717948914,-0.36182090640068054,0.2257021814584732,0.01790730096399784
SZ13.AG,-1.632662057876587,2.0098562240600586,-0.22040441632270813,-0.34959855675697327,0.2964508831501007,0.06821287423372269
SZ14.AG,-1.6345888376235962,2.0082528591156006,-0.2457152009010315,-0.39200371503829956,0.30541157722473145,-0.03890195116400719
SZ16.AG,-1.667682409286499,1.9726532697677612,-0.13072872161865234,-0.3486810028553009,0.3034479320049286,-0.004857804160565138
SZ18.AG,-1.6882141828536987,2.010368585586548,-0.27013278007507324,-0.4057806730270386,0.2640160024166107,0.023389289155602455
SZ19.AG,-1.715071678161621,2.0394446849823,-0.2933550179004669,-0.42315563559532166,0.2500039339065552,0.03726997971534729
SZ22.AG,-1.657995343208313,2.0589261054992676,-0.1999935507774353,-0.32225102186203003,0.2763170897960663,0.06578465551137924
SZ23.AG,-1.6647520065307617,1.9917126893997192,-0.2433176189661026,-0.336879700422287,0.25137218832969666,0.050628140568733215
SZ24.AG,-1.6569663286209106,1.9732232093811035,-0.22206838428974152,-0.3389267027378082,0.23684926331043243,-0.02141367457807064
SZ25.AG,-1.7033828496932983,1.9737250804901123,-0.2123744934797287,-0.39304348826408386,0.25171583890914917,-0.06381577998399734
SZ27.AG,-1.6299399137496948,2.0131418704986572,-0.17115013301372528,-0.3778822422027588,0.36931267380714417,-0.020332923159003258
SZ28.AG,-1.7104229927062988,2.047968626022339,-0.24389272928237915,-0.3118158280849457,0.23523451387882233,0.06818808615207672
SZ30.AG,-1.6854474544525146,2.0132529735565186,-0.24043525755405426,-0.39079269766807556,0.23108480870723724,0.03708776459097862
SZ31.AG,-1.6751600503921509,2.0643858909606934,-0.23668944835662842,-0.3700360655784607,0.2825005352497101,0.013656480237841606
SZ32.AG,-1.569314956665039,2.042875051498413,-0.28851693868637085,-0.35741308331489563,0.3255018889904022,0.033341895788908005
SZ37.AG,-1.632720947265625,2.0014681816101074,-0.28042587637901306,-0.2798353135585785,0.21993331611156464,0.03393930196762085
SZ38.AG,-1.6621532440185547,2.102139711380005,-0.24476014077663422,-0.34893956780433655,0.21423527598381042,0.11023624986410141
SZ40.AG,-1.706485390663147,2.081421136856079,-0.23680154979228973,-0.30053481459617615,0.276974618434906,0.01582733914256096
SZ41.AG,-1.5915849208831787,1.964539885520935,-0.23416106402873993,-0.3269318640232086,0.30529794096946716,-0.009742256253957748
SZ42.AG,-1.681516408920288,2.0355312824249268,-0.18222065269947052,-0.3662938177585602,0.28901219367980957,0.007421158254146576
SZ7.AG,-1.608511209487915,2.0234806537628174,-0.1841660439968109,-0.29087769985198975,0.2796270251274109,0.0169955026358366
SZ8.AG,-1.559568166732788,1.9949370622634888,-0.27229318022727966,-0.398734450340271,0.24721109867095947,0.037452369928359985
SZ9.AG,-1.6528244018554688,2.0126919746398926,-0.16818232834339142,-0.34944966435432434,0.3142032027244568,-0.028641968965530396
SZ11.SG,-1.6178842782974243,1.9757057428359985,-0.24085454642772675,-0.3781539797782898,0.2430652529001236,0.039944205433130264
SZ15.SG,-1.648526906967163,1.8939762115478516,-0.22100187838077545,-0.36086052656173706,0.21113409101963043,0.08058677613735199
SZ2.SG,-1.6005858182907104,1.9564698934555054,-0.10165270417928696,-0.3579850494861603,0.1904275119304657,0.027343852445483208
SZ3.SG,-1.585861086845398,1.8747150897979736,-0.18285329639911652,-0.38352906703948975,0.27891862392425537,-0.07330788671970367
SZ4.SG,-1.6031363010406494,1.9157463312149048,-0.1961420774459839,-0.38071209192276,0.3454298973083496,-0.043366558849811554
I1895.AG,-1.618710994720459,2.0405330657958984,-0.23425625264644623,-0.3827320337295532,0.2848358154296875,0.0688156858086586
I1902.AG,-1.6419638395309448,2.0114760398864746,-0.25139009952545166,-0.38698235154151917,0.2692130208015442,0.003829547204077244
I1905.AG,-1.7269985675811768,2.007356643676758,-0.2593837082386017,-0.3402893841266632,0.23003600537776947,-0.015721626579761505
I1907.AG,-1.6737943887710571,2.0296106338500977,-0.24216872453689575,-0.3282545506954193,0.2407236546278,-0.011557081714272499
I1594.AG,-0.47725623846054077,-0.5187332034111023,0.010592494159936905,-0.3598134517669678,0.15448017418384552,0.2910566031932831
I1763.AG,-0.9186635613441467,-0.0747433453798294,0.7753959894180298,0.21004967391490936,0.22985655069351196,-1.0402709245681763
I1767.AG,0.2676863372325897,-0.6050724387168884,0.8682050704956055,-0.20115256309509277,-0.8463172912597656,0.757134735584259
I1770.AG,0.31047627329826355,-0.5183966159820557,0.9239935278892517,-0.17957593500614166,-0.7833870649337769,0.7884266376495361
I1774.AG,0.34455442428588867,-0.5355568528175354,0.9133051633834839,-0.15682679414749146,-0.7522148489952087,0.6865543127059937
I1775.AG,0.3151141107082367,-0.5733606219291687,0.9131520390510559,-0.19097395241260529,-0.7498065829277039,0.7054666876792908
I1819.AG,-0.9272002577781677,-0.09268234670162201,0.787592351436615,0.21423085033893585,0.2340935915708542,-1.0548982620239258
I1836.AG,-0.5062641501426697,-0.06279303133487701,-0.23676279187202454,-3.752568006515503,-0.7362955808639526,0.22655132412910461
I1838.AG,-0.4950910210609436,-0.08839961141347885,-0.23181527853012085,-3.6858203411102295,-0.7450553774833679,0.21072299778461456
I1840.AG,-0.4821152687072754,-0.05785364657640457,-0.26301267743110657,-3.7415740489959717,-0.7621299624443054,0.20766858756542206
I1843.AG,-0.5042214393615723,-0.07459433376789093,-0.26743409037590027,-3.6937243938446045,-0.7287542223930359,0.21225756406784058
I1887.AG,-1.6293448209762573,2.077849864959717,-0.28393256664276123,-0.384122371673584,0.3388494849205017,-0.010357856750488281
I1889.AG,-1.5940793752670288,2.0121817588806152,-0.24685138463974,-0.4041486084461212,0.32170894742012024,-0.016158945858478546
I1890.AG,-1.7076133489608765,2.0472614765167236,-0.27269572019577026,-0.34471842646598816,0.2718683183193207,0.02666187658905983
I1891.AG,-1.7374813556671143,2.027029275894165,-0.27387771010398865,-0.3138038218021393,0.25991883873939514,0.03443622216582298
I1896.AG,-1.6417012214660645,2.006747245788574,-0.26120758056640625,-0.29220908880233765,0.2898091971874237,-0.013470443896949291
I1899.AG,-1.594400405883789,1.9891276359558105,-0.24272440373897552,-0.35348543524742126,0.33511221408843994,0.051625169813632965
I1900.AG,-1.701804518699646,1.9431794881820679,-0.2841220796108246,-0.32358816266059875,0.3055605888366699,-0.017162956297397614
I1901.AG,-1.6422057151794434,1.995452642440796,-0.20937122404575348,-0.32344913482666016,0.282910019159317,0.0024571355897933245
I1903.AG,-1.6322892904281616,2.028794765472412,-0.2890223562717438,-0.37129831314086914,0.1740325391292572,0.011519634164869785
I1906.AG,-1.6314818859100342,1.9590178728103638,-0.26358309388160706,-0.3589102327823639,0.28963348269462585,-0.033230241388082504
I1908.AG,-1.6479926109313965,2.012389659881592,-0.2717357277870178,-0.3714366853237152,0.2825027406215668,0.002018515020608902
